txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,numJapan,numMystic,numXmas,level,shouldAscend,part1,part2,part3,part4,part5,part6,summer2022,agamogenesis
0xe0d07250bcfbecb9dec56bd4a3ea638a8d89b7d553213095c16ddd20c9860110,11799205,Reptile,1,"0,0047","7,62",2023-09-17 19:45:07,0,0,0,5,False,eyes-mavis,ears-leafy,back-tri-spikes,mouth-cute-bunny,horn-scaly-spear,tail-grass-snake,0,0
0xfe2e0c9c11e1f35847f2a6734c1540e826a582cf79c01cea78bf6d98f8db7062,11415611,Reptile,0,"0,001","1,62",2023-09-17 19:44:34,0,0,0,1,False,eyes-scar,ears-small-frill,back-bone-sail,mouth-kotaro,horn-incisor,tail-tiny-dino,0,0
0x75a262387799f43bae0171b2d21a22e0284af4c2f9f365fc1c27c0a90cc79b01,7652389,Mech,3,"0,001","1,62",2023-09-17 19:44:01,0,0,0,1,False,eyes-chubby,ears-puppy,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,0,0
0x8db8989bf56a83d9c1b439a300cc8132eebe0d6ef84eba171d834426d021238e,1430002,Plant,2,"0,00128","2,07",2023-09-17 19:43:49,0,0,0,1,False,eyes-cucumber-slice,ears-leaf-bug,back-indian-star,mouth-serious,horn-rose-bud,tail-hare,0,0
0x7c91435ee876d632ee97ed5497be3030b2d9613b9a498a3b9603ff579020d705,11285211,Plant,0,"0,008","12,97",2023-09-17 19:42:58,0,0,0,1,False,eyes-papi,ears-hollow,back-green-thorns,mouth-mosquito,horn-cactus,tail-hatsune,0,0
0x9e93df8b09f6446636958fbddb5e58f39871c98f570e690098a7cc7ae724747b,11519277,Beast,3,"0,001375","2,23",2023-09-17 19:41:37,0,0,0,5,False,eyes-little-peas,ears-innocent-lamb,back-hero,mouth-mosquito,horn-lagging,tail-shiba,0,0
0xa1338ab027d4fbefd975229fd4988202059f4b194a9ac17ad75bac0f9202c3c1,11420328,Dawn,0,"0,0021","3,4",2023-09-17 19:40:46,0,0,0,1,False,eyes-mavis,ears-friezard,back-pigeon-post,mouth-risky-fish,horn-eggshell,tail-cotton-candy,1,0
0x49e59d4f8492302f9df7ede6f0f60a7f18276ad3e9b5bc49337d5ead283bd855,2970998,Beast,0,"0,00138","2,24",2023-09-17 19:40:43,0,0,0,1,False,eyes-chubby,ears-nut-cracker,back-ronin,mouth-nut-cracker,horn-imp,tail-cottontail,0,0
0x93769d3f1cf751cb1a1def7f1e48bd54588a83abe503b4e7e380fb06dec228a8,2703757,Bird,2,"0,0009","1,46",2023-09-17 19:40:37,0,0,0,1,False,eyes-mavis,ears-owl,back-raven,mouth-little-owl,horn-kestrel,tail-cottontail,0,0
0xe8a249d210704fdfd4b1609cd687eb809f21f4b5112ea29b2aa9c19dcae790b4,6874293,Beast,0,"0,00137555","2,23",2023-09-17 19:40:28,0,0,0,1,False,eyes-chubby,ears-nut-cracker,back-ronin,mouth-nut-cracker,horn-imp,tail-cottontail,0,0
